standing,player_name,deck_code,card_name_jp,set_code,card_number,count,category
1,ゆう,UySpMp-liahAC-yy3p3R,イーブイ,SVLN,,2,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,イーブイex,SV8a,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,ブースターex,SV8a,,2,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,リーフィアex,SV8a,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,スピンロトム,M2a,,2,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,ホーホー,SV7,,4,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,ヨルノズク,SVLS,,4,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,キチキギスex,SV6a,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,リーリエのピッピex,SV9,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,ラティアスex,SV7a,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,オーガポン いどのめんex,SV6,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,カプ・コケコex,SVM,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,パオジアン,M2a,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,ロケット団のミミッキュ,M2a,,1,Pokemon
1,ゆう,UySpMp-liahAC-yy3p3R,ポケパッド,MC,,4,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,テラスタルオーブ,M2a,,2,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,ハイパーボール,BKR,,3,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,なかよしポフィン,M1S,,2,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,夜のタンカ,M1L,,2,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,ガラスのラッパ,M2a,,1,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,エネルギー転送,BKt,,1,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,きらめく結晶(ACE SPEC),SV8a,,1,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,アカマツ,SV8a,,3,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,ボスの指令,S12a,,2,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,スグリ,SV6,,1,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,リーリエの決心,M1L,,1,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,Nの筋書き,SV11B,,1,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,シアノ,SV8,,1,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,ゼロの大空洞,SV7,,3,Trainer
1,ゆう,UySpMp-liahAC-yy3p3R,基本炎エネルギー,HSZp,,2,Energy
1,ゆう,UySpMp-liahAC-yy3p3R,基本水エネルギー,HSZm,,2,Energy
1,ゆう,UySpMp-liahAC-yy3p3R,基本雷エネルギー,BKB,,2,Energy
1,ゆう,UySpMp-liahAC-yy3p3R,基本超エネルギー,HSm,,2,Energy
1,ゆう,UySpMp-liahAC-yy3p3R,基本草エネルギー,BKZ,,1,Energy
2,たなぼた,n96gL6-9NpI2r-HNNgnL,オーガポン みどりのめんex,SV8a,,1,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,オーガポン みどりのめんex,SV8a,,1,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,オーガポン みどりのめんex,SV6,,1,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,オーガポン みどりのめんex,SV6,,1,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,オーガポン いどのめんex,SV6,,2,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,オーガポン かまどのめんex,SV6,,1,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,メガガルーラex,M1S,,3,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,リーリエのピッピex,SV9,,2,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,ラティアスex,M2a,,2,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,キチキギスex,SV6a,,1,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,ニャースex,M3,,1,Pokemon
2,たなぼた,n96gL6-9NpI2r-HNNgnL,ハイパーボール,BKR,,4,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,テラスタルオーブ,SV8a,,3,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,鬼の仮面,,,3,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,夜のタンカ,M1L,,1,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,エネルギー回収,SM11a,,1,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,きらめく結晶(ACE SPEC),SV7,,1,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,リーリエの決心,MC,,4,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,アカマツ,SV7,,4,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,ボスの指令,S12a,,4,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,Nの筋書き,SV11B,,2,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,ジャッジマン,SV4a,,1,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,ゼロの大空洞,SV7,,2,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,エキサイトスタジアム,SV8,,1,Trainer
2,たなぼた,n96gL6-9NpI2r-HNNgnL,基本草エネルギー,CLF,,7,Energy
2,たなぼた,n96gL6-9NpI2r-HNNgnL,基本水エネルギー,CLK,,3,Energy
2,たなぼた,n96gL6-9NpI2r-HNNgnL,基本超エネルギー,CLK,,2,Energy
2,たなぼた,n96gL6-9NpI2r-HNNgnL,基本炎エネルギー,CLL,,1,Energy
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,マリィのオーロンゲex,SVOM,,2,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,マリィのギモー,SVOM,,2,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,マリィのベロバー,SVOM,,3,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,マシマシラ,,,4,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,ユキメノコ,SV6,,2,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,ユキワラシ,M2a,,2,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,スボミー,SV8a,,1,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,シェイミ,MA,,1,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,コダック,M2a,,1,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,シャリタツ,M2a,,1,Pokemon
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,ふしぎなアメ,SV1V,,3,Trainer
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,なかよしポフィン,MBD,,3,Trainer
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,夜のタンカ,,,3,Trainer
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,ポケパッド,,,4,Trainer
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,シークレットボックス(ACE SPEC),SV6,,1,Trainer
3,ルカリオ,UyMyMM-9g5Jzk-RMERyp,ふうせん,MBD,,1,Trainer
