standing,player_name,region,deck_code,deck_url
1,たか,愛知県,dvFFkV-BQpx90-vkkbkF,https://www.pokemon-card.com/deck/confirm.html/deckID/dvFFkV-BQpx90-vkkbkF
2,わたよ,福岡県,FFkVkv-clLM5g-kkFfdb,https://www.pokemon-card.com/deck/confirm.html/deckID/FFkVkv-clLM5g-kkFfdb
3,うみすけ,東京都,xxc848-RGDXVC-GGccKx,https://www.pokemon-card.com/deck/confirm.html/deckID/xxc848-RGDXVC-GGccKx
3,あずさ,東京都,n9NnPn-YReTn6-Lnn9gL,https://www.pokemon-card.com/deck/confirm.html/deckID/n9NnPn-YReTn6-Lnn9gL
5,n,埼玉県,8acJG8-XSegrR-G88ccY,https://www.pokemon-card.com/deck/confirm.html/deckID/8acJG8-XSegrR-G88ccY
5,あさき,栃木県,8G8K8G-x0IaGr-x88cxY,https://www.pokemon-card.com/deck/confirm.html/deckID/8G8K8G-x0IaGr-x88cxY
5,アンパン,東京都,cc8xJD-jO2RvS-DYD8G8,https://www.pokemon-card.com/deck/confirm.html/deckID/cc8xJD-jO2RvS-DYD8G8
5,ジャンタルマンタル,大阪府,FkkbFf-kZKCE8-5kfVFk,https://www.pokemon-card.com/deck/confirm.html/deckID/FkkbFf-kZKCE8-5kfVFk
9,ぐっち,大阪府,8xGccc-bMdHI1-K8ca8x,https://www.pokemon-card.com/deck/confirm.html/deckID/8xGccc-bMdHI1-K8ca8x
9,りょうら,千葉県,kFFfkk-6ddWEE-fbFFFk,https://www.pokemon-card.com/deck/confirm.html/deckID/kFFfkk-6ddWEE-fbFFFk
9,すぶた,石川県,nPng9n-807Ijq-nngPnQ,https://www.pokemon-card.com/deck/confirm.html/deckID/nPng9n-807Ijq-nngPnQ
9,ヒナタ,兵庫県,2Uyypp-w55Guv-pppyyR,https://www.pokemon-card.com/deck/confirm.html/deckID/2Uyypp-w55Guv-pppyyR
9,かもかも,京都府,8c8x8G-9B2cqG-xxc8cG,https://www.pokemon-card.com/deck/confirm.html/deckID/8c8x8G-9B2cqG-xxc8cG
9,sora,佐賀県,ypp3RM-LKL5j8-ypMS2y,https://www.pokemon-card.com/deck/confirm.html/deckID/ypp3RM-LKL5j8-ypMS2y
9,あ,京都府,g6gn9i-BO93w8-HnLnig,https://www.pokemon-card.com/deck/confirm.html/deckID/g6gn9i-BO93w8-HnLnig
9,Lulu,広島県,FbfbkF-vjF0yU-kkk5kV,https://www.pokemon-card.com/deck/confirm.html/deckID/FbfbkF-vjF0yU-kkk5kV
