standing,player_name,deck_code,card_name_jp,set_code,card_number,count,category
1,じょうじ,88aGcc-HP3edz-8x84cc,ドラパルトex,MC,,3,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,ドロンチ,M2a,,4,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,ドラメシヤ,M2a,,4,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,キチキギスex,SV6a,,1,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,ラティアスex,SV7a,,1,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,マシマシラ,SV6,,2,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,スボミー,M2a,,2,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,コダック,M2a,,1,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,ガチグマ アカツキex,SV5a,,1,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,ニャースex,M3,,2,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,リーリエのピッピex,SV9,,1,Pokemon
1,じょうじ,88aGcc-HP3edz-8x84cc,なかよしポフィン,SV8a,,4,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,ハイパーボール,SPD,,4,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,ポケパッド,MC,,3,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,夜のタンカ,SV8a,,2,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,アンフェアスタンプ(ACE SPEC),MC,,1,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,リーリエの決心,M1L,,4,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,ボスの指令,MC,,3,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,タケシのスカウト,SV9,,2,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,アカマツ,SV7,,3,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,危ない廃墟,M1L,,3,Trainer
1,じょうじ,88aGcc-HP3edz-8x84cc,基本超エネルギー,S12a,,4,Energy
1,じょうじ,88aGcc-HP3edz-8x84cc,基本炎エネルギー,ENE,,3,Energy
1,じょうじ,88aGcc-HP3edz-8x84cc,基本悪エネルギー,S12a,,2,Energy
2,さく,5kbFkV-JKMYPO-vkkFkk,ヤドン,SV7,,4,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,ヤドキング,SV7,,3,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,メガヤドランex,,,1,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,ムチュール,SV7a,,2,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,キュレム,SV6a,,2,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,ローブシン,SV6,,1,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,ゾロアーク,MC,,1,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,リーリエのピッピex,SV9,,1,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,キチキギスex,SV6a,,1,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,ラティアスex,M2a,,2,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,ニャースex,M3,,1,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,コノヨザル,SV8,,1,Pokemon
2,さく,5kbFkV-JKMYPO-vkkFkk,ハイパーボール,S9,,4,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,夜のタンカ,SV8,,4,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,ポケパッド,MC,,4,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,ワンダーパッチ,MBD,,3,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,アンフェアスタンプ(ACE SPEC),SV5a,,1,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,リーリエの決心,M1L,,4,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,サーファー,SV7a,,1,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,トウコ,SV11W,,3,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,アクロマの執念,SV8a,,3,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,ボスの指令,MC,,1,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,夜のアカデミー,SV6a,,4,Trainer
2,さく,5kbFkV-JKMYPO-vkkFkk,基本超エネルギー,S10b,,5,Energy
2,さく,5kbFkV-JKMYPO-vkkFkk,テレパス超エネルギー,M3,,3,Energy
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,シロナのガブリアスex,MC,,3,Pokemon
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,シロナのガバイト,MC,,4,Pokemon
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,シロナのフカマル,MC,,4,Pokemon
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,シロナのロズレイド,SV9a,,3,Pokemon
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,シロナのロゼリア,MC,,3,Pokemon
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,シロナのミカルゲ,SV9a,,1,Pokemon
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ツールスクラッパー,,,1,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,パワープロテイン,M1L,,2,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ファイトゴング,M1L,,3,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,夜のタンカ,M1L,,2,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,なかよしポフィン,M1S,,4,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ふしぎなアメ,M1S,,1,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ポケモンいれかえ,M2,,1,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,アンフェアスタンプ(ACE SPEC),MC,,1,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ポケパッド,M3,,4,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,シロナのパワーウエイト,MC,,3,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ジャッジマン,SVI,,2,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ボスの指令,MA,,3,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,リーリエの決心,MBD,,4,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ロケット団のラムダ,MC,,2,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,バトルコロシアム,M2,,2,Trainer
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,基本闘エネルギー,S8b,,4,Energy
3,0-3(笑),Vkkkkb-CUaq0F-dFFbkf,ロック闘エネルギー,M3,,3,Energy
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ケーシィ,M1S,,4,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ユンゲラー,M1S,,4,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,フーディン,M1S,,3,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,フーディン,SV8a,,1,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ノコッチ,MC,,4,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ノココッチ,SV8a,,3,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,コダック,M2a,,1,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,シェイミ,SV9a,,1,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ゲノセクト,SV6a,,1,Pokemon
3,オサビ,yRyypp-Bk68QQ-yyXpyy,なかよしポフィン,SV5K,,4,Trainer
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ポケパッド,M3,,4,Trainer
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ふしぎなアメ,MC,,3,Trainer
3,オサビ,yRyypp-Bk68QQ-yyXpyy,せいなるはい,M2a,,1,Trainer
3,オサビ,yRyypp-Bk68QQ-yyXpyy,夜のタンカ,MC,,1,Trainer
3,オサビ,yRyypp-Bk68QQ-yyXpyy,ワンダーパッチ,MBD,,1,Trainer
