standing,player_name,region,deck_code,deck_url
1,じょうじ,香川県,88aGcc-HP3edz-8x84cc,https://www.pokemon-card.com/deck/confirm.html/deckID/88aGcc-HP3edz-8x84cc
2,さく,岡山県,5kbFkV-JKMYPO-vkkFkk,https://www.pokemon-card.com/deck/confirm.html/deckID/5kbFkV-JKMYPO-vkkFkk
3,0-3(笑),神奈川県,Vkkkkb-CUaq0F-dFFbkf,https://www.pokemon-card.com/deck/confirm.html/deckID/Vkkkkb-CUaq0F-dFFbkf
3,オサビ,大阪府,yRyypp-Bk68QQ-yyXpyy,https://www.pokemon-card.com/deck/confirm.html/deckID/yRyypp-Bk68QQ-yyXpyy
5,ルーク,石川県,8888xK-1BfNW8-c4xYxG,https://www.pokemon-card.com/deck/confirm.html/deckID/8888xK-1BfNW8-c4xYxG
5,テル,岐阜県,Y8axJ8-Z3LJaK-Yc8c8G,https://www.pokemon-card.com/deck/confirm.html/deckID/Y8axJ8-Z3LJaK-Yc8c8G
5,Remingtong,福岡県,kkkfVd-4k2K4O-bkFkwF,https://www.pokemon-card.com/deck/confirm.html/deckID/kkkfVd-4k2K4O-bkFkwF
5,AYATO,神奈川県,dFFFkF-cAIQeJ-Vb5kkk,https://www.pokemon-card.com/deck/confirm.html/deckID/dFFFkF-cAIQeJ-Vb5kkk
9,ちこまる,愛知県,RRXyyy-Fo8aip-UyypMp,https://www.pokemon-card.com/deck/confirm.html/deckID/RRXyyy-Fo8aip-UyypMp
9,かいとった引きだけ,愛知県,cYc888-C0higX-J8Gx88,https://www.pokemon-card.com/deck/confirm.html/deckID/cYc888-C0higX-J8Gx88
9,りゅー,愛知県,nnng9n-Ez8Dcn-Q9nL9L,https://www.pokemon-card.com/deck/confirm.html/deckID/nnng9n-Ez8Dcn-Q9nL9L
9,ゆう,愛知県,gNL9PL-w5Pdwh-nnQLn6,https://www.pokemon-card.com/deck/confirm.html/deckID/gNL9PL-w5Pdwh-nnQLn6
9,ウルトラかいせい,大阪府,G8ccx8-9gfg1P-J84D8G,https://www.pokemon-card.com/deck/confirm.html/deckID/G8ccx8-9gfg1P-J84D8G
9,ao,福岡県,nQgQn9-GimeSJ-g9ngHn,https://www.pokemon-card.com/deck/confirm.html/deckID/nQgQn9-GimeSJ-g9ngHn
9,えいす,沖縄県,MRyySy-6t6Jwl-yUpyX3,https://www.pokemon-card.com/deck/confirm.html/deckID/MRyySy-6t6Jwl-yUpyX3
9,あおと,愛知県,D8c8cc-JISb1P-4DGc88,https://www.pokemon-card.com/deck/confirm.html/deckID/D8c8cc-JISb1P-4DGc88
