standing,player_name,deck_code,card_name_jp,set_code,card_number,count,category
1,,fkFVkk-M00uEG-dFfbkk,フーディン,M1S,,3,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,フーディン,SV8a,,1,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,ユンゲラー,M1S,,4,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,ケーシィ,M1S,,4,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,コダック,M2a,,1,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,ノコッチ,SV9,,2,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,ノコッチ,SV8a,,1,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,キチキギスex,SV6a,,1,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,ノココッチ,,,2,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,シェイミ,SV9a,,1,Pokemon
1,,fkFVkk-M00uEG-dFfbkk,なかよしポフィン,M1S,,3,Trainer
1,,fkFVkk-M00uEG-dFfbkk,ポケパッド,MC,,4,Trainer
1,,fkFVkk-M00uEG-dFfbkk,ふしぎなアメ,,,3,Trainer
1,,fkFVkk-M00uEG-dFfbkk,スペシャルレッドカード,M4,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,ワンダーパッチ,M3,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,改造ハンマー,SV8a,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,改造ハンマー,SM9a,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,せいなるはい,M3,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,夜のタンカ,M1L,,2,Trainer
1,,fkFVkk-M00uEG-dFfbkk,ラッキーメット,SV5a,,2,Trainer
1,,fkFVkk-M00uEG-dFfbkk,ヒカリ,M2,,4,Trainer
1,,fkFVkk-M00uEG-dFfbkk,トウコ,,,2,Trainer
1,,fkFVkk-M00uEG-dFfbkk,トウコ,SV11W,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,ボスの指令,S8b,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,ボスの指令,S4a,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,スイレンのお世話,SV8a,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,バトルコロシアム,M2,,3,Trainer
1,,fkFVkk-M00uEG-dFfbkk,バトルコロシアム,M2,,1,Trainer
1,,fkFVkk-M00uEG-dFfbkk,テレパス超エネルギー,M3,,4,Energy
1,,fkFVkk-M00uEG-dFfbkk,基本超エネルギー,,,2,Energy
1,,fkFVkk-M00uEG-dFfbkk,リッチエネルギー,SV7a,,1,Energy
3,,VwkFfb-8QrbpJ-kdFfbk,オリーヴァex,SV10,,2,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,オリーニョ,MC,,2,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,ミニーブ,MC,,2,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,メガニウム,M1S,,2,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,ベイリーフ,M1S,,2,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,チコリータ,,,2,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,オーガポン みどりのめんex,SV8a,,4,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,ヨルノズク,SV7,,1,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,ホーホー,M2a,,1,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,スボミー,M2a,,1,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,ニャースex,M3,,1,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,キチキギスex,M2a,,1,Pokemon
3,,VwkFfb-8QrbpJ-kdFfbk,アンフェアスタンプ(ACE SPEC),SV5a,,1,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,むしとりセット,SV8a,,4,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,夜のタンカ,M1L,,1,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,ハイパーボール,M2a,,4,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,ポケパッド,M3,,3,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,スイレンのお世話,SV5a,,1,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,リーリエの決心,M1L,,4,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,ヒカリ,M2,,3,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,ボスの指令,MC,,2,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,活力の森,M3,,4,Trainer
3,,VwkFfb-8QrbpJ-kdFfbk,基本草エネルギー,SV2D,,12,Energy
57,,88Yxc8-lBGALO-caDG4G,カルボウ,M2a,,4,Pokemon
57,,88Yxc8-lBGALO-caDG4G,ソウブレイズex,SV8a,,3,Pokemon
57,,88Yxc8-lBGALO-caDG4G,ソルロック,M2a,,2,Pokemon
57,,88Yxc8-lBGALO-caDG4G,ルナトーン,M2a,,2,Pokemon
57,,88Yxc8-lBGALO-caDG4G,モグリュー,SV8a,,1,Pokemon
57,,88Yxc8-lBGALO-caDG4G,キチキギスex,M2a,,1,Pokemon
57,,88Yxc8-lBGALO-caDG4G,ファイトゴング,M1L,,4,Trainer
57,,88Yxc8-lBGALO-caDG4G,ポケパッド,M3,,4,Trainer
57,,88Yxc8-lBGALO-caDG4G,ハイパーボール,S9,,4,Trainer
57,,88Yxc8-lBGALO-caDG4G,夜のタンカ,M1L,,3,Trainer
57,,88Yxc8-lBGALO-caDG4G,パーフェクトミキサー(ACE SPEC),SVLS,,1,Trainer
57,,88Yxc8-lBGALO-caDG4G,ゼイユ,SV6,,4,Trainer
57,,88Yxc8-lBGALO-caDG4G,アオキの手際,SV8a,,3,Trainer
57,,88Yxc8-lBGALO-caDG4G,ボスの指令,SJ,,3,Trainer
57,,88Yxc8-lBGALO-caDG4G,基本炎エネルギー,CLL,,7,Energy
57,,88Yxc8-lBGALO-caDG4G,基本闘エネルギー,CLF,,12,Energy
57,,88Yxc8-lBGALO-caDG4G,ミストエネルギー,SV8a,,2,Energy
240,,Lnnnn9-8UGgdK-PgHNgn,メガディアンシーex,M2a,,3,Pokemon
240,,Lnnnn9-8UGgdK-PgHNgn,ラティアスex,SV7a,,2,Pokemon
240,,Lnnnn9-8UGgdK-PgHNgn,リーリエのピッピex,MC,,2,Pokemon
240,,Lnnnn9-8UGgdK-PgHNgn,マシマシラ,SV6,,3,Pokemon
240,,Lnnnn9-8UGgdK-PgHNgn,コダック,M2a,,1,Pokemon
240,,Lnnnn9-8UGgdK-PgHNgn,ニャースex,M3,,1,Pokemon
240,,Lnnnn9-8UGgdK-PgHNgn,キチキギスex,SV6a,,1,Pokemon
240,,Lnnnn9-8UGgdK-PgHNgn,夜のタンカ,MA,,2,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ツールスクラッパー,M2a,,1,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ハイパーボール,SVN,,3,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ワンダーパッチ,MBD,,4,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,スペシャルレッドカード,M4,,1,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ヒーローマント(ACE SPEC),MA,,1,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,力の砂時計,SV6a,,2,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,リーリエのしんじゅ,SV9,,1,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ジャッジマン,S8b,,2,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,リーリエの決心,MBG,,4,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ボスの指令,SVN,,2,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,アクロマの執念,SV6a,,2,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ユカリ,M3,,1,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,アカマツ,SV8a,,3,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,ミステリーガーデン,M1S,,3,Trainer
240,,Lnnnn9-8UGgdK-PgHNgn,基本超エネルギー,MC,,7,Energy
240,,Lnnnn9-8UGgdK-PgHNgn,基本悪エネルギー,MC,,4,Energy
240,,Lnnnn9-8UGgdK-PgHNgn,テレパス超エネルギー,M3,,4,Energy
