standing,player_name,deck_code,card_name_jp,set_code,card_number,count,category
1,,kfF5VV-EpPYgW-fVkFkb,ケーシィ,M1S,,4,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,ユンゲラー,M1S,,4,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,フーディン,M1S,,3,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,ノコッチ,SV9,,3,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,ノココッチ,SV5K,,3,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,キチキギスex,SVN,,1,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,シェイミ,MA,,1,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,コダック,,,1,Pokemon
1,,kfF5VV-EpPYgW-fVkFkb,なかよしポフィン,SV5K,,4,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,ポケパッド,,,4,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,ふしぎなアメ,MA,,3,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,夜のタンカ,MBD,,1,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,改造ハンマー,SV8a,,2,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,ワンダーパッチ,MBD,,1,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,せいなるはい,M2a,,1,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,トウコ,SV11W,,4,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,ヒカリ,M2,,4,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,ボスの指令,SVHM,,3,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,スイレンのお世話,MC,,1,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,ビワ,SV5K,,1,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,バトルコロシアム,M2,,4,Trainer
1,,kfF5VV-EpPYgW-fVkFkb,リッチエネルギー,SV7a,,1,Energy
1,,kfF5VV-EpPYgW-fVkFkb,テレパス超エネルギー,M3,,4,Energy
1,,kfF5VV-EpPYgW-fVkFkb,基本超エネルギー,ENE,,2,Energy
2,,x8848G-x86vd6-DcKcxD,マリィのベロバー,SVOM,,4,Pokemon
2,,x8848G-x86vd6-DcKcxD,マリィのギモー,SVOM,,2,Pokemon
2,,x8848G-x86vd6-DcKcxD,マリィのオーロンゲex,SVOM,,3,Pokemon
2,,x8848G-x86vd6-DcKcxD,ユキワラシ,M2a,,2,Pokemon
2,,x8848G-x86vd6-DcKcxD,ユキメノコ,SV6,,2,Pokemon
2,,x8848G-x86vd6-DcKcxD,マシマシラ,SV8a,,4,Pokemon
2,,x8848G-x86vd6-DcKcxD,スボミー,SV8a,,1,Pokemon
2,,x8848G-x86vd6-DcKcxD,イベルタル,M1L,,1,Pokemon
2,,x8848G-x86vd6-DcKcxD,なかよしポフィン,SVOD,,3,Trainer
2,,x8848G-x86vd6-DcKcxD,ポケパッド,,,4,Trainer
2,,x8848G-x86vd6-DcKcxD,夜のタンカ,SVN,,2,Trainer
2,,x8848G-x86vd6-DcKcxD,ふしぎなアメ,SVOD,,3,Trainer
2,,x8848G-x86vd6-DcKcxD,アンフェアスタンプ(ACE SPEC),MC,,1,Trainer
2,,x8848G-x86vd6-DcKcxD,スペシャルレッドカード,M4,,1,Trainer
2,,x8848G-x86vd6-DcKcxD,ふうせん,SV11B,,1,Trainer
2,,x8848G-x86vd6-DcKcxD,リーリエの決心,MA,,4,Trainer
2,,x8848G-x86vd6-DcKcxD,ボスの指令,SVOD,,3,Trainer
2,,x8848G-x86vd6-DcKcxD,ロケット団のラムダ,SV10,,4,Trainer
2,,x8848G-x86vd6-DcKcxD,アオキの手際,MC,,2,Trainer
2,,x8848G-x86vd6-DcKcxD,スパイクタウンジム,SVOM,,4,Trainer
2,,x8848G-x86vd6-DcKcxD,基本悪エネルギー,ENE,,9,Energy
3,,cY8888-EQzq2O-ccDKcG,イシズマイ,SV9a,,3,Pokemon
3,,cY8888-EQzq2O-ccDKcG,イワパレス,SV9a,,3,Pokemon
3,,cY8888-EQzq2O-ccDKcG,マシマシラ,SV8a,,4,Pokemon
3,,cY8888-EQzq2O-ccDKcG,コダック,,,1,Pokemon
3,,cY8888-EQzq2O-ccDKcG,シェイミ,MA,,1,Pokemon
3,,cY8888-EQzq2O-ccDKcG,キチキギス,MC,,2,Pokemon
3,,cY8888-EQzq2O-ccDKcG,なかよしポフィン,SVN,,2,Trainer
3,,cY8888-EQzq2O-ccDKcG,ポケパッド,M3,,4,Trainer
3,,cY8888-EQzq2O-ccDKcG,夜のタンカ,SV8a,,2,Trainer
3,,cY8888-EQzq2O-ccDKcG,ポケギア3.0,SVLS,,4,Trainer
3,,cY8888-EQzq2O-ccDKcG,ジャンボアイス,M2,,1,Trainer
3,,cY8888-EQzq2O-ccDKcG,ヒーローマント(ACE SPEC),MC,,1,Trainer
3,,cY8888-EQzq2O-ccDKcG,ウタンのみ,SV7,,1,Trainer
3,,cY8888-EQzq2O-ccDKcG,ボスの指令,SVM,,4,Trainer
3,,cY8888-EQzq2O-ccDKcG,リーリエの決心,MBD,,4,Trainer
3,,cY8888-EQzq2O-ccDKcG,アカマツ,SV8a,,3,Trainer
3,,cY8888-EQzq2O-ccDKcG,マツバの確信,MC,,2,Trainer
3,,cY8888-EQzq2O-ccDKcG,スイレンのお世話,SV8a,,1,Trainer
3,,cY8888-EQzq2O-ccDKcG,ロケット団のラムダ,M2a,,1,Trainer
