standing,player_name,region,deck_code,deck_url
62,,,Yx8GcD-TVKRPo-8Y48x4,https://www.pokemon-card.com/deck/confirm.html/deckID/Yx8GcD-TVKRPo-8Y48x4/
87,,,S3XEyS-lkFiy7-yRpUyy,https://www.pokemon-card.com/deck/confirm.html/deckID/S3XEyS-lkFiy7-yRpUyy/
88,,,G4cJaY-XD0wVC-Dc8888,https://www.pokemon-card.com/deck/confirm.html/deckID/G4cJaY-XD0wVC-Dc8888/
134,,,aDJ8cc-9LcE1U-88GacD,https://www.pokemon-card.com/deck/confirm.html/deckID/aDJ8cc-9LcE1U-88GacD/
188,,,iLNHgn-q49pAE-g9gQnQ,https://www.pokemon-card.com/deck/confirm.html/deckID/iLNHgn-q49pAE-g9gQnQ/
326,,,nNP9L9-Z1MNL5-ggnNnN,https://www.pokemon-card.com/deck/confirm.html/deckID/nNP9L9-Z1MNL5-ggnNnN/
327,,,VFwdbf-c4NJdK-5wvkkF,https://www.pokemon-card.com/deck/confirm.html/deckID/VFwdbf-c4NJdK-5wvkkF/
327,,,UUpXyp-UQN1iZ-2UXRpy,https://www.pokemon-card.com/deck/confirm.html/deckID/UUpXyp-UQN1iZ-2UXRpy/
330,,,kv1VbF-4ODMAd-FFfk1F,https://www.pokemon-card.com/deck/confirm.html/deckID/kv1VbF-4ODMAd-FFfk1F/
343,,,NLPn9n-RzSNrk-N6LQng,https://www.pokemon-card.com/deck/confirm.html/deckID/NLPn9n-RzSNrk-N6LQng/
392,,,1bff51-edfSAf-kkVwFk,https://www.pokemon-card.com/deck/confirm.html/deckID/1bff51-edfSAf-kkVwFk/
585,,,ypMSUE-KUYpu0-XMyRRS,https://www.pokemon-card.com/deck/confirm.html/deckID/ypMSUE-KUYpu0-XMyRRS/
642,,,innQnn-GYWPUe-NN9gi9,https://www.pokemon-card.com/deck/confirm.html/deckID/innQnn-GYWPUe-NN9gi9/
642,,,D88D48-qPMNEL-ccGYac,https://www.pokemon-card.com/deck/confirm.html/deckID/D88D48-qPMNEL-ccGYac/
886,,,N9inNL-SpDav8-QLingn,https://www.pokemon-card.com/deck/confirm.html/deckID/N9inNL-SpDav8-QLingn/
886,,,ppyMyE-qvTuUa-yyMRXp,https://www.pokemon-card.com/deck/confirm.html/deckID/ppyMyE-qvTuUa-yyMRXp/
898,,,X3yXyX-nHWGPB-2ypRXU,https://www.pokemon-card.com/deck/confirm.html/deckID/X3yXyX-nHWGPB-2ypRXU/
898,,,a8DcxD-mJ6W86-KGcJ8c,https://www.pokemon-card.com/deck/confirm.html/deckID/a8DcxD-mJ6W86-KGcJ8c/
904,,,pXpSMX-40RFvd-yXyUyR,https://www.pokemon-card.com/deck/confirm.html/deckID/pXpSMX-40RFvd-yXyUyR/
