standing,player_name,deck_code,card_name_jp,set_code,card_number,count,category
2,,bb5ffk-i54qix-FkVkFk,ドラパルトex,SV8a,,3,Pokemon
2,,bb5ffk-i54qix-FkVkFk,ドロンチ,M2a,,4,Pokemon
2,,bb5ffk-i54qix-FkVkFk,ドラメシヤ,M2a,,4,Pokemon
2,,bb5ffk-i54qix-FkVkFk,スボミー,M2a,,2,Pokemon
2,,bb5ffk-i54qix-FkVkFk,マシマシラ,SV6,,2,Pokemon
2,,bb5ffk-i54qix-FkVkFk,リーリエのピッピex,MC,,1,Pokemon
2,,bb5ffk-i54qix-FkVkFk,ガチグマ アカツキex,SV8a,,1,Pokemon
2,,bb5ffk-i54qix-FkVkFk,ラティアスex,SV7a,,1,Pokemon
2,,bb5ffk-i54qix-FkVkFk,キチキギスex,SV6a,,1,Pokemon
2,,bb5ffk-i54qix-FkVkFk,ニャースex,M3,,1,Pokemon
2,,bb5ffk-i54qix-FkVkFk,なかよしポフィン,SV5K,,4,Trainer
2,,bb5ffk-i54qix-FkVkFk,ポケパッド,MC,,4,Trainer
2,,bb5ffk-i54qix-FkVkFk,ハイパーボール,SPD,,4,Trainer
2,,bb5ffk-i54qix-FkVkFk,夜のタンカ,M1L,,2,Trainer
2,,bb5ffk-i54qix-FkVkFk,アンフェアスタンプ(ACE SPEC),MA,,1,Trainer
2,,bb5ffk-i54qix-FkVkFk,スペシャルレッドカード,M4,,1,Trainer
2,,bb5ffk-i54qix-FkVkFk,アカマツ,SVLN,,3,Trainer
2,,bb5ffk-i54qix-FkVkFk,リーリエの決心,M2a,,4,Trainer
2,,bb5ffk-i54qix-FkVkFk,ボスの指令,MC,,4,Trainer
2,,bb5ffk-i54qix-FkVkFk,ロケット団のラムダ,SV10,,1,Trainer
2,,bb5ffk-i54qix-FkVkFk,ジャミングタワー,M2a,,1,Trainer
2,,bb5ffk-i54qix-FkVkFk,危ない廃墟,M1L,,2,Trainer
2,,bb5ffk-i54qix-FkVkFk,基本炎エネルギー,S8b,,3,Energy
2,,bb5ffk-i54qix-FkVkFk,基本超エネルギー,SPD,,4,Energy
2,,bb5ffk-i54qix-FkVkFk,基本悪エネルギー,S8b,,2,Energy
3,,SXpp3p-hXhqkF-yyRM2E,ドラパルトex,SV6,,3,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,ドロンチ,SV8a,,4,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,ドラメシヤ,SV8a,,4,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,ヨノワール,SV8a,,1,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,サマヨール,SV8a,,1,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,ヨマワル,SV8a,,2,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,ヨルノズク,SV7,,1,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,ホーホー,MC,,1,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,スボミー,SV8a,,1,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,マシマシラ,SV6,,1,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,ニャースex,M3,,2,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,キチキギスex,SV6a,,1,Pokemon
3,,SXpp3p-hXhqkF-yyRM2E,なかよしポフィン,SV6,,4,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,ハイパーボール,S9,,4,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,ポケパッド,M3,,4,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,ふしぎなアメ,SV1V,,3,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,夜のタンカ,SV8,,2,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,スペシャルレッドカード,M4,,1,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,アンフェアスタンプ(ACE SPEC),SV5a,,1,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,リーリエの決心,M1L,,4,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,アカマツ,SV7,,1,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,メイのはげまし,M3,,1,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,ブライア,SV7,,1,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,ボスの指令,S2,,2,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,危ない廃墟,M1L,,1,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,ロケット団の監視塔,M2a,,1,Trainer
3,,SXpp3p-hXhqkF-yyRM2E,基本超エネルギー,ENE,,3,Energy
3,,SXpp3p-hXhqkF-yyRM2E,基本炎エネルギー,ENE,,3,Energy
3,,SXpp3p-hXhqkF-yyRM2E,基本悪エネルギー,ENE,,2,Energy
9,,6Q96QN-2Sw36e-PgLnnL,ドラパルトex,SV6,,3,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,ドロンチ,M2a,,4,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,ドラメシヤ,M2a,,4,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,ヨノワール,SV6a,,1,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,サマヨール,SV6a,,2,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,ヨマワル,SV6a,,2,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,スボミー,M2a,,1,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,マシマシラ,SV6,,1,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,ニャースex,M3,,2,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,キチキギスex,SV6a,,1,Pokemon
9,,6Q96QN-2Sw36e-PgLnnL,なかよしポフィン,M1S,,4,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,ハイパーボール,M2a,,4,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,ポケパッド,M3,,4,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,ふしぎなアメ,M1S,,3,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,夜のタンカ,M1L,,2,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,スペシャルレッドカード,M4,,1,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,アンフェアスタンプ(ACE SPEC),MA,,1,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,リーリエの決心,MC,,4,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,アカマツ,SV7,,2,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,メイのはげまし,M3,,1,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,ボスの指令,S12a,,3,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,ジャミングタワー,SVN,,1,Trainer
9,,6Q96QN-2Sw36e-PgLnnL,ロケット団の監視塔,M2a,,1,Trainer
