standing,player_name,region,deck_code,deck_url
2,,,bb5ffk-i54qix-FkVkFk,https://www.pokemon-card.com/deck/confirm.html/deckID/bb5ffk-i54qix-FkVkFk/
3,,,SXpp3p-hXhqkF-yyRM2E,https://www.pokemon-card.com/deck/confirm.html/deckID/SXpp3p-hXhqkF-yyRM2E/
9,,,6Q96QN-2Sw36e-PgLnnL,https://www.pokemon-card.com/deck/confirm.html/deckID/6Q96QN-2Sw36e-PgLnnL/
17,,,EyyX2E-ylXgBK-p3ySpR,https://www.pokemon-card.com/deck/confirm.html/deckID/EyyX2E-ylXgBK-p3ySpR/
17,,,3pRXMy-Z2myKN-SyXpXR,https://www.pokemon-card.com/deck/confirm.html/deckID/3pRXMy-Z2myKN-SyXpXR/
17,,,GcY8GD-TxHEHp-D88DKx,https://www.pokemon-card.com/deck/confirm.html/deckID/GcY8GD-TxHEHp-D88DKx/
17,,,d1kFbk-W4LzGN-bkfFkV,https://www.pokemon-card.com/deck/confirm.html/deckID/d1kFbk-W4LzGN-bkfFkV/
68,,,8GJx8a-SAMkSO-xJccDK,https://www.pokemon-card.com/deck/confirm.html/deckID/8GJx8a-SAMkSO-xJccDK/
180,,,nnPNgn-VAeVwO-n9NgN9,https://www.pokemon-card.com/deck/confirm.html/deckID/nnPNgn-VAeVwO-n9NgN9/
212,,,kFkFkv-Q0AajV-fbkdfk,https://www.pokemon-card.com/deck/confirm.html/deckID/kFkFkv-Q0AajV-fbkdfk/
234,,,kk51bf-bUrCR1-kV1F1V,https://www.pokemon-card.com/deck/confirm.html/deckID/kk51bf-bUrCR1-kV1F1V/
293,,,vFkVff-F3FoC9-bdFkkd,https://www.pokemon-card.com/deck/confirm.html/deckID/vFkVff-F3FoC9-bdFkkd/
319,,,XSUppy-bt0WQ4-XyRRpS,https://www.pokemon-card.com/deck/confirm.html/deckID/XSUppy-bt0WQ4-XyRRpS/
903,,,884c8D-IMDN6h-acJGca,https://www.pokemon-card.com/deck/confirm.html/deckID/884c8D-IMDN6h-acJGca/
903,,,SyREyy-AqEYFU-MyXRyp,https://www.pokemon-card.com/deck/confirm.html/deckID/SyREyy-AqEYFU-MyXRyp/
903,,,E2Syyy-WLYpbz-RXXpyE,https://www.pokemon-card.com/deck/confirm.html/deckID/E2Syyy-WLYpbz-RXXpyE/
903,,,PNning-eqLpZl-6NH9nL,https://www.pokemon-card.com/deck/confirm.html/deckID/PNning-eqLpZl-6NH9nL/
