card_name,set_code,set_number,priority_score,urgency,core_flex,archetypes,avg_copies
Lillie's Determination,,,60.9,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,4.0
Poké Pad,,,54.1,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,4.0
Ultra Ball,,,49.8,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,4.0
Buddy-Buddy Poffin,,,44.6,HIGH,core,Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,4.0
Fighting Energy,,,41.1,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Dragapult ex;Mega Froslass Mega Starmie,9.9
Boss's Orders,,,37.6,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.0
Carmine,,,36.6,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,4.0
Darkness Energy,,,35.3,URGENT,core,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Darmanitan Zoroark;Mega Froslass Mega Starmie,9.1
Psychic Energy,,,33.9,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.8
Night Stretcher,,,31.9,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.8
Night Stretcher,,,30.9,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Dragapult ex;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.4
Rare Candy,,,28.6,URGENT,core,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Dragapult Meowth;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur,3.5
Morty's Conviction,,,26.6,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Alakazam Dudunsparce;Garchomp Roserade;Blaziken Dragapult;Grimmsnarl Munkidori;Mewtwo Spidops;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,3.0
Drayton,,,26.6,HIGH,flex,Mega Lucario;Dragapult Dusknoir;Garchomp Roserade;Grimmsnarl Munkidori;Dragapult ex;Mega Venusaur;Darmanitan Zoroark;Mega Froslass Mega Starmie,2.5
